"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"18-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","168.85","-","-","-","750","-"
"17-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","146.05","-","-","-","750","-"
"16-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","154.30","-","-","-","750","-"
"13-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","150.80","-","-","-","750","-"
"12-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","151.25","-","-","-","750","-"
"11-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","154.55","-","-","-","750","-"
"10-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","181.40","-","-","-","750","-"
"09-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","189.40","-","-","-","750","-"
"06-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","174.55","-","-","-","750","-"
"05-Oct-2023","28-Dec-2023","PE","2,500.00","192.00","192.00","192.00","192.00","192.00","177.65","250","6,73,000.00","48,000.00","750","250"
"04-Oct-2023","28-Dec-2023","PE","2,500.00","140.00","180.00","140.00","180.00","180.00","177.85","500","13,30,000.00","80,000.00","500","500"
"03-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","195.45","-","175.10","-","-","-","-","-"
"29-Sep-2023","28-Dec-2023","PE","2,500.00","-","-","-","195.45","-","188.05","-","-","-","-","-"
