"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"03-Nov-2023","28-Dec-2023","CE","2,400.00","37.75","38.20","31.50","32.45","32.30","32.45","1,43,250","34,87,10,700.00","49,10,700.00","3,12,750","32,000"
"02-Nov-2023","28-Dec-2023","CE","2,400.00","32.85","36.25","30.75","35.05","36.00","35.05","1,33,250","32,42,25,150.00","44,25,150.00","2,80,750","8,250"
"01-Nov-2023","28-Dec-2023","CE","2,400.00","29.95","36.20","28.00","29.40","29.00","29.40","1,46,250","35,56,47,937.50","46,47,937.50","2,72,500","-9,000"
"31-Oct-2023","28-Dec-2023","CE","2,400.00","37.90","40.55","29.20","30.25","31.50","30.25","1,02,750","25,00,61,400.00","34,61,400.00","2,81,500","28,000"
"30-Oct-2023","28-Dec-2023","CE","2,400.00","31.20","41.50","31.20","36.95","36.40","36.95","2,47,000","60,21,51,912.50","93,51,912.50","2,53,500","-2,000"
"27-Oct-2023","28-Dec-2023","CE","2,400.00","29.90","34.50","29.20","30.15","30.00","30.15","1,82,750","44,43,43,350.00","57,43,350.00","2,55,500","65,000"
"26-Oct-2023","28-Dec-2023","CE","2,400.00","33.55","36.60","27.40","28.35","28.30","28.35","88,250","21,45,38,900.00","27,38,900.00","1,90,500","28,750"
"25-Oct-2023","28-Dec-2023","CE","2,400.00","40.00","41.95","35.00","36.30","35.00","36.30","69,000","16,82,16,862.50","26,16,862.50","1,61,750","17,750"
"23-Oct-2023","28-Dec-2023","CE","2,400.00","49.45","53.00","35.50","37.90","45.50","37.90","91,000","22,23,76,975.00","39,76,975.00","1,44,000","22,000"
"20-Oct-2023","28-Dec-2023","CE","2,400.00","58.00","59.20","49.00","49.35","49.30","49.35","40,000","9,81,34,925.00","21,34,925.00","1,22,000","15,500"
"19-Oct-2023","28-Dec-2023","CE","2,400.00","57.60","62.55","55.10","56.35","55.50","56.35","35,750","8,79,11,175.00","21,11,175.00","1,06,500","13,000"
"18-Oct-2023","28-Dec-2023","CE","2,400.00","77.00","81.50","65.10","66.30","65.50","66.30","52,250","12,92,31,075.00","38,31,075.00","93,500","19,250"
"17-Oct-2023","28-Dec-2023","CE","2,400.00","76.10","78.50","73.70","77.35","78.50","77.35","12,250","3,03,34,162.50","9,34,162.50","74,250","5,500"
"16-Oct-2023","28-Dec-2023","CE","2,400.00","75.05","80.50","75.00","75.00","75.00","75.00","6,000","1,48,68,737.50","4,68,737.50","68,750","1,750"
"13-Oct-2023","28-Dec-2023","CE","2,400.00","76.35","80.50","71.00","77.90","77.50","77.90","21,000","5,19,52,200.00","15,52,200.00","67,000","10,500"
"12-Oct-2023","28-Dec-2023","CE","2,400.00","79.25","82.80","75.05","80.30","82.45","80.30","12,750","3,16,21,525.00","10,21,525.00","56,500","750"
"11-Oct-2023","28-Dec-2023","CE","2,400.00","70.60","80.00","70.45","78.05","78.05","78.05","17,000","4,20,71,362.50","12,71,362.50","55,750","-1,000"
"10-Oct-2023","28-Dec-2023","CE","2,400.00","69.25","71.50","66.10","68.25","68.25","54.35","8,000","1,97,46,687.50","5,46,687.50","56,750","3,000"
"09-Oct-2023","28-Dec-2023","CE","2,400.00","61.95","69.00","61.95","63.90","65.35","63.90","8,000","1,97,31,900.00","5,31,900.00","53,750","2,000"
"06-Oct-2023","28-Dec-2023","CE","2,400.00","72.50","72.75","68.70","71.70","71.70","71.70","10,500","2,59,45,162.50","7,45,162.50","51,750","3,000"
"05-Oct-2023","28-Dec-2023","CE","2,400.00","72.00","75.00","70.00","70.05","70.00","70.05","27,250","6,73,61,387.50","19,61,387.50","48,750","12,000"
"04-Oct-2023","28-Dec-2023","CE","2,400.00","65.00","73.75","60.00","71.25","73.75","71.25","36,250","8,95,53,637.50","25,53,637.50","36,750","27,500"
"03-Oct-2023","28-Dec-2023","CE","2,400.00","76.00","82.00","76.00","81.70","78.05","81.70","12,750","3,16,07,500.00","10,07,500.00","9,250","9,250"
"29-Sep-2023","28-Dec-2023","CE","2,400.00","-","-","-","111.50","-","115.90","-","-","-","-","-"
